,0
0,0.2516107566077712
1,0.009635951037912947
2,0.05311516199012881
3,0.3330100272285437
4,0.04381555710256758
5,0.042056001729486675
6,0.11362936944244184
7,0.09832041277736042
8,0.08435209519315112
9,0.44376543744626246
10,0.02553046790499982
11,0.42597712874813537
12,0.011252759301710245
13,0.15912328770583337
14,0.6143778471314506
15,0.011418668956731968
16,0.15444031290828458
17,0.020324453901430985
18,0.15132849009338453
19,0.5700944516179831
20,0.19325223418153037
21,0.048330917497051866
22,0.00024161930335090884
23,0.5838922129914099
24,0.0811196351168271
25,0.2055795234697077
26,0.21277364560712603
27,0.17792522921483908
28,0.02639036564350806
29,0.5999998983855238
30,0.5501116919552159
31,0.017180220123040282
32,0.05691947963777195
33,0.20189171449658536
34,0.7992632224533233
35,0.008037852703126014
36,0.23129535319454475
37,0.0188420326178219
38,0.6169719788286426
39,0.7510386754877971
40,0.030714006529527542
41,0.061100928096104144
42,0.08221424058656537
43,0.08287318316850456
44,0.07913666437209335
45,0.3113944110465281
46,0.036257539894882014
47,0.03886838945595579
48,0.18369175415914477
49,0.5999707835874905
50,0.017386783549504646
51,0.03923402279459247
52,0.35829076055910264
53,0.5845418512883855
54,0.11074166512795197
55,0.7402344907844831
56,0.19929422198759184
57,0.5296418053278515
58,0.35312732455334866
59,0.07769771895219241
60,0.11946554244266819
61,0.05399627410491246
62,0.46361396017220863
63,0.04807401851145451
64,0.21692232315750723
65,0.009917868158761244
66,0.20931365913051234
67,0.08408021581393843
68,0.0765896399073335
69,0.26403275438657997
70,0.24670809757017068
71,0.09062593990646847
72,0.16951471986653324
73,0.17278534443099214
74,0.10542909080396012
75,0.1633682875111449
76,0.04510142716205138
77,0.0065539549289368275
78,0.026068391732273287
79,0.08697966820482778
80,0.052983493348814005
81,0.1087561771663049
82,0.5753251677080085
83,0.15821255479570395
84,0.6179655005608555
85,0.318868973654594
86,0.6777022407484895
87,0.15884328443601806
88,0.11021471761146123
89,0.15899334695754877
90,0.014447263992889613
91,0.15675155300084545
92,0.46390636165314036
93,0.07353930933363084
94,0.7369552538903757
95,0.04221980758495752
96,0.17531842922846985
97,0.14532514643537076
98,0.33984462853870634
99,0.23462353295802182
100,0.08083591348505903
101,0.04027571802486727
102,0.32280031179158514
103,0.4759937132410221
104,0.06196438457596192
105,0.2623924220363782
106,0.0193084280584684
107,0.04398234546901021
108,0.027857717145963988
109,0.7331958231525735
110,0.15488593372741763
111,0.171743534273883
112,0.056264428606140095
113,0.020477087112777098
114,0.1654697893234427
115,0.46510445570441267
116,0.16376198374803957
